"DataSet","Year","Pop_Name","CU_Name","SpnForAbd_Total","SpnForTrend_Total","SpnForTrend_Wild","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"Sk_Fraser",1939,"Middle Shuswap River","Shuswap - Early Summer",6,3,3,6,NA,NA,46440,"L-09-03",NA
"Sk_Fraser",1939,"Momich River, lower","Shuswap - Early Summer",0,0,0,0,NA,NA,NA,NA,NA
"Sk_Fraser",1939,"Scotch Creek","Shuswap - Early Summer",0,0,0,0,NA,NA,46288,"L-09-02",NA
"Sk_Fraser",1939,"Scotch Creek","Shuswap - Early Summer",0,0,0,0,NA,NA,46289,"L-09-03",NA
"Sk_Fraser",1939,"Seymour River","Shuswap - Early Summer",250,119,119,250,NA,NA,46328,"L-09-02",NA
"Sk_Fraser",1939,"Seymour River","Shuswap - Early Summer",250,119,119,250,NA,NA,46329,"L-09-03",NA
"Sk_Fraser",1939,"15 Mile Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45590,"L-06-14",NA
"Sk_Fraser",1939,"25 Mile Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45587,"L-06-14",NA
"Sk_Fraser",1939,"25 Mile Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,46152,"L-04-01",NA
"Sk_Fraser",1939,"Ankwill Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45596,"L-06-14",NA
"Sk_Fraser",1939,"Bivouac Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45574,"L-06-14",NA
"Sk_Fraser",1939,"Blanchet Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45589,"L-06-14",NA
"Sk_Fraser",1939,"Crow Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45583,"L-06-14",NA
"Sk_Fraser",1939,"Driftwood River","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45598,"L-06-14",NA
"Sk_Fraser",1939,"Dust Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45581,"L-06-14",NA
"Sk_Fraser",1939,"Dust Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45582,"L-06-13",NA
"Sk_Fraser",1939,"Fleming Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45556,"L-06-14",NA
"Sk_Fraser",1939,"Forfar Creek","Takla-Trembleur - Early Stuart",160,76,76,160,NA,NA,45571,"L-06-14",NA
"Sk_Fraser",1939,"French Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45595,"L-06-14",NA
"Sk_Fraser",1939,"Frypan Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45593,"L-06-14",NA
"Sk_Fraser",1939,"Gluske Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45572,"L-06-14",NA
"Sk_Fraser",1939,"Hudson Bay Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45592,"L-06-14",NA
"Sk_Fraser",1939,"Kazchek Creek","Takla-Trembleur - Early Stuart",4,2,2,4,NA,NA,45559,"L-06-14",NA
"Sk_Fraser",1939,"Kazchek Creek","Takla-Trembleur - Early Stuart",4,2,2,4,NA,NA,45560,"L-06-13",NA
"Sk_Fraser",1939,"Leo Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45575,"L-06-14",NA
"Sk_Fraser",1939,"Lovell Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45594,"L-06-14",NA
"Sk_Fraser",1939,"Maclaing Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45591,"L-06-14",NA
"Sk_Fraser",1939,"McDougall Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45579,"L-06-14",NA
"Sk_Fraser",1939,"Narrows Creek","Takla-Trembleur - Early Stuart",9,5,5,9,NA,NA,45586,"L-06-14",NA
"Sk_Fraser",1939,"O'Ne-ell Creek","Takla-Trembleur - Early Stuart",806,428,428,806,NA,NA,45570,"L-06-14",NA
"Sk_Fraser",1939,"Paula Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45557,"L-06-14",NA
"Sk_Fraser",1939,"Point Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45585,"L-06-14",NA
"Sk_Fraser",1939,"Sakeniche River","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45577,"L-06-14",NA
"Sk_Fraser",1939,"Sakeniche River","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45578,"L-06-13",NA
"Sk_Fraser",1939,"Sandpoint Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45576,"L-06-14",NA
"Sk_Fraser",1939,"Shale Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45588,"L-06-14",NA
"Sk_Fraser",1939,"Sidney Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45558,"L-06-14",NA
"Sk_Fraser",1939,"Sinta Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45580,"L-06-14",NA
"Sk_Fraser",1939,"Sowchea Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,3218,"L-06-13",NA
"Sk_Fraser",1939,"Van Decar Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45569,"L-06-14",NA
"Sk_Fraser",1939,"20 Mile Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,46069,"L-03-03",NA
"Sk_Fraser",1939,"25 Mile Creek","Lillooet-Harrison - Late",49,28,28,49,NA,NA,45587,"L-06-14",NA
"Sk_Fraser",1939,"25 Mile Creek","Lillooet-Harrison - Late",49,28,28,49,NA,NA,46152,"L-04-01",NA
"Sk_Fraser",1939,"Bear Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,NA,NA,NA
"Sk_Fraser",1939,"Big Silver Creek","Harrison (D/S) - Late",45,20,20,45,NA,NA,46072,"L-03-03",NA
"Sk_Fraser",1939,"Birkenhead River","Lillooet-Harrison - Late",15435,8710,8710,15435,NA,NA,46098,"L-04-01",NA
"Sk_Fraser",1939,"Cogburn Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,46065,"L-03-03",NA
"Sk_Fraser",1939,"Douglas Creek","Harrison (D/S) - Late",225,112,112,225,NA,NA,46083,"L-03-03",NA
"Sk_Fraser",1939,"East Creek","Harrison (U/S) - Late",25,13,13,25,NA,NA,46055,"L-03-04",NA
"Sk_Fraser",1939,"Harrison River","Harrison River - Late",200,99,99,200,NA,NA,46030,"R-03",NA
"Sk_Fraser",1939,"Hatchery Creek","Harrison (D/S) - Late",193,94,94,193,NA,NA,NA,NA,NA
"Sk_Fraser",1939,"Lillooet Slough","Lillooet-Harrison - Late",0,0,0,0,NA,NA,46025,"L-04-01",NA
"Sk_Fraser",1939,"Miller Creek","Lillooet-Harrison - Late",7,4,4,7,NA,NA,46117,"L-04-01",NA
"Sk_Fraser",1939,"Mystery Creek","Harrison (D/S) - Late",0,0,0,0,NA,NA,46063,"L-03-03",NA
"Sk_Fraser",1939,"Weaver Creek","Harrison (U/S) - Late",4646,2207,2207,4646,NA,NA,46044,"L-03-04",NA
"Sk_Fraser",1939,"Adams River, lower","Shuswap Complex - Late",16200,8394,8394,16200,NA,NA,46238,"L-09-02",NA
"Sk_Fraser",1939,"Adams River, lower","Shuswap Complex - Late",16200,8394,8394,16200,NA,NA,46239,"L-09-03",NA
"Sk_Fraser",1939,"Anstey River","Shuswap Complex - Late",0,0,0,0,NA,NA,46348,"L-09-02",NA
"Sk_Fraser",1939,"Anstey River","Shuswap Complex - Late",0,0,0,0,NA,NA,46349,"L-09-03",NA
"Sk_Fraser",1939,"Bessette Creek","Shuswap Complex - Late",0,0,0,0,NA,NA,7635,"L-09-03",NA
"Sk_Fraser",1939,"Bessette Creek","Shuswap Complex - Late",0,0,0,0,NA,NA,431,"L-09-03",NA
