Base.Unit.CU.ID,Base.Unit.CU.ShortName,Year,Metric,Value
SEL-L-06-14,Takla_Trem_Estu,2017,Recent.Total,75310
SEL-L-06-10,Quesnel_S,2017,Recent.Total,172695
SEL-L-06-13,Takla_Trem_S_S,2017,Recent.Total,130493
SEL-L-09-03,Shuswap_L,2017,Recent.Total,2112414
SER-R03,Harrison_RT,2017,Recent.Total,202748
SEL-L-03-05,Pitt_ES,2012,Recent.Total,24846
SEL-L-06-20,Nadina_Francois_ES,2012,Recent.Total,12488
SEL-L-10-01,Kamloops_ES,2012,Recent.Total,9200
SEL-L-07-01,Bowron_ES,2012,Recent.Total,3409
SEL-L-10-03,North_Barriere_ES,2012,Recent.Total,5466
SEL-L-05-02,Nahatlatch_ES,2012,Recent.Total,2554
SEL-L-06-16,Taseko_ES,2012,Recent.Total,248
SEL-L-03-01,Chilliwack_ES,2012,Recent.Total,12637
SEL-L-06-01,Anderson_Seton_ES,2012,Recent.Total,6176
SEL-L-06-03,Chilko_S_ES,2012,Recent.Total,692217
SEL-L-06-07,Fran_Fras_S,2012,Recent.Total,100096
SEL-L-03-02,Cultus_L,2012,Recent.Total,353
SEL-L-06-11,Seton-L,2012,Recent.Total,12762
SEL-L-03-04,Harrison_US_L,2012,Recent.Total,25964
SER-R02,Widgeon_RT,2012,Recent.Total,682
SEL-L-04-01,Lillooet_Harr_L,2012,Recent.Total,70497
SEL-L-03-03,Harrison_DS_L,2012,Recent.Total,5426
SEL-L-09-02,Shuswap_ES,2012,Recent.Total,974533
SEL-L-06-14,Takla_Trem_Estu,2012,Recent.Total,43001
SEL-L-06-10,Quesnel_S,2012,Recent.Total,148142
SEL-L-06-13,Takla_Trem_S_S,2012,Recent.Total,80540
SEL-L-09-03,Shuswap_L,2012,Recent.Total,5522291
SER-R03,Harrison_RT,2012,Recent.Total,284103
SEL-L-03-05,Pitt_ES,2017,Recent.Geom.Total,47700
SEL-L-06-20,Nadina_Francois_ES,2017,Recent.Geom.Total,26100
SEL-L-10-01,Kamloops_ES,2017,Recent.Geom.Total,10700
SEL-L-07-01,Bowron_ES,2017,Recent.Geom.Total,1656
SEL-L-10-03,North_Barriere_ES,2017,Recent.Geom.Total,2800
SEL-L-05-02,Nahatlatch_ES,2017,Recent.Geom.Total,2300
SEL-L-06-16,Taseko_ES,2017,Recent.Geom.Total,186
SEL-L-03-01,Chilliwack_ES,2017,Recent.Geom.Total,12600
SEL-L-06-01,Anderson_Seton_ES,2017,Recent.Geom.Total,18045
SEL-L-06-03,Chilko_S_ES,2017,Recent.Geom.Total,599900
SEL-L-06-07,Fran_Fras_S,2017,Recent.Geom.Total,135100
SEL-L-03-02,Cultus_L,2017,Recent.Geom.Total,438
SEL-L-06-11,Seton-L,2017,Recent.Geom.Total,599
SEL-L-03-04,Harrison_US_L,2017,Recent.Geom.Total,5400
SER-R02,Widgeon_RT,2017,Recent.Geom.Total,435
SEL-L-04-01,Lillooet_Harr_L,2017,Recent.Geom.Total,28800
SEL-L-03-03,Harrison_DS_L,2017,Recent.Geom.Total,4200
SEL-L-09-02,Shuswap_ES,2017,Recent.Geom.Total,105619
SEL-L-06-14,Takla_Trem_Estu,2017,Recent.Geom.Total,75310
SEL-L-06-10,Quesnel_S,2017,Recent.Geom.Total,172695
SEL-L-06-13,Takla_Trem_S_S,2017,Recent.Geom.Total,130493
SEL-L-09-03,Shuswap_L,2017,Recent.Geom.Total,2112414
SER-R03,Harrison_RT,2017,Recent.Geom.Total,165300
SEL-L-03-05,Pitt_ES,2012,Recent.Geom.Total,21991
SEL-L-06-20,Nadina_Francois_ES,2012,Recent.Geom.Total,8806
SEL-L-10-01,Kamloops_ES,2012,Recent.Geom.Total,8469
SEL-L-07-01,Bowron_ES,2012,Recent.Geom.Total,2321
SEL-L-10-03,North_Barriere_ES,2012,Recent.Geom.Total,2664
SEL-L-05-02,Nahatlatch_ES,2012,Recent.Geom.Total,1674
SEL-L-06-16,Taseko_ES,2012,Recent.Geom.Total,130
SEL-L-03-01,Chilliwack_ES,2012,Recent.Geom.Total,5840
SEL-L-06-01,Anderson_Seton_ES,2012,Recent.Geom.Total,4980
SEL-L-06-03,Chilko_S_ES,2012,Recent.Geom.Total,365259
SEL-L-06-07,Fran_Fras_S,2012,Recent.Geom.Total,73282
SEL-L-03-02,Cultus_L,2012,Recent.Geom.Total,278
